Título,Canal,Inscritos,Duração,Link,Tema,Formato,Data,Visualizações
O que é solstício e equinócio? - Quer Que Desenhe 8,BláBláLogia,179000,341,https://www.youtube.com/watch?v=fiqAyKOmoEI,Astronomia,Draw,1181,249291
ESPECIAL DE NATAL: Criacionismo Judaico-cristão! - Curiosity 16 | Blablalogia,BláBláLogia,179000,371,https://www.youtube.com/watch?v=deElVJGIZBc,Religião,Vlog,1086,242538
Café com JOVEM NERD! - Café Com Quê? 7 | BláBláLogia,BláBláLogia,179000,902,https://www.youtube.com/watch?v=6XBlVWihT68,Opinião,Entrevista,1037,179661
Criacionismos: Conheçam o Zoroastrismo!!! - Curiosity 14 | BláBláLogia,BláBláLogia,179000,1392,https://www.youtube.com/watch?v=lCRV8c7izpg,Religião,Vlog,1105,178647
#Curiosity 3 - Cientologia,BláBláLogia,179000,702,https://www.youtube.com/watch?v=23f2Q7zt_pE,Religião,Vlog,1256,158659
Criacionismo Sumério - Curiosity 12,BláBláLogia,179000,1153,https://www.youtube.com/watch?v=Qa83Fsg3VOY,Religião,Vlog,1133,150777
Café com Filósofos - Café com Quê? 5 | BláBlálogia,BláBláLogia,179000,368,https://www.youtube.com/watch?v=jrRjlqEp2lE,Opinião,Vlog,1069,147949
#Curiosity 1 - O Deus das Caixas (Culto a Carga),BláBláLogia,179000,633,https://www.youtube.com/watch?v=8v6MmInvSSY,Religião,Vlog,1284,144621
Seres Mitológicos Inspirados em Fósseis Reais - Curiosity 15,BláBláLogia,179000,991,https://www.youtube.com/watch?v=jeMlS5smEig,Biologia,Vlog,1090,117640
BláBláLogia,BláBláLogia,179000,57,https://www.youtube.com/watch?v=F5H8XMBnoqQ,Outro,Outro,1285,104870
#AnotaAí 1 - Mutualismo,BláBláLogia,179000,131,https://www.youtube.com/watch?v=7doHcgUtYEQ,Biologia,Draw,1283,35528
"#PCR 1 - Tardígrados: onde vivem, são imortais?",BláBláLogia,179000,219,https://www.youtube.com/watch?v=d5ynR4RZ1Q4,Biologia,Vlog,1282,40529
#TopModels 1 - O que são Modelos?,BláBláLogia,179000,225,https://www.youtube.com/watch?v=pM2jTmhAk_0,Outro,Vlog,1281,26385
#Garrancho 1 - Por que o milho aparece no cocô?,BláBláLogia,179000,152,https://www.youtube.com/watch?v=6L1jrfzWXDs,Biologia,Draw,1280,35079
#PorDentro 1 - Dor,BláBláLogia,179000,156,https://www.youtube.com/watch?v=kaxT1qa2Ju0,Biologia,Vlog,1279,25217
#QuerQueDesenhe? 1 - Peso e Massa! Entenda finalmente a diferença,BláBláLogia,179000,449,https://www.youtube.com/watch?v=upguBOEhq4c,Física,Draw,1277,100205
NINJAS E SAMURAIS - A Origem de Tudo 1,BláBláLogia,179000,528,https://www.youtube.com/watch?v=EE5MqdhMz7I,História,Vlog,1276,71281
Teaser - Clube da Toalha 0,BláBláLogia,179000,58,https://www.youtube.com/watch?v=_gdVoeUFv5c,Outro,Vlog,1275,14908
#BoaTemática 1- 25% ou 50%?,BláBláLogia,179000,161,https://www.youtube.com/watch?v=Y9jvm4y5FZQ,Matemática,Vlog,1274,19345
BICHO DE PÉ! 120segundos 45| BláBláLogia,BláBláLogia,179000,199,https://www.youtube.com/watch?v=OuLu6l_B7Kw,Biologia,Vlog,40,111068
QUE BAFO! 120segundos 44 | BláBláLogia,BláBláLogia,179000,202,https://www.youtube.com/watch?v=dv7EN1wB1v8,Biologia,Vlog,47,5161
Novos canais no Science Vlogs Brasil! | Giro SVBR,BláBláLogia,179000,504,https://www.youtube.com/watch?v=qGxtwMeTF4k,Outro,Vlog,48,1683
PEDRA NOS RINS! 120segundos 43 | BláBláLogia,BláBláLogia,179000,199,https://www.youtube.com/watch?v=d0ECTOfp0ME,Biologia,Vlog,54,5022
5 DICAS PARA O ENEM! 120segundos 42 | BláBláLogia,BláBláLogia,179000,288,https://www.youtube.com/watch?v=BFj_kJg8XNw,Outro,Vlog,58,3804
POR QUE OS CABELOS EMBRANQUECEM? 120segundos 41 | BláBláLogia,BláBláLogia,179000,229,https://www.youtube.com/watch?v=1bMWhyUtZzc,Biologia,Vlog,60,6486
OLHEIRAS! - 120segundos 40 | BláBláLogia,BláBláLogia,179000,178,https://www.youtube.com/watch?v=VM8GyCxzBlE,Biologia,Vlog,67,10330
BERNE! - 120segundos 39 | BláBláLogia,BláBláLogia,179000,201,https://www.youtube.com/watch?v=QU-z-_EjmDE,Biologia,Vlog,74,23540
"HIV, Psicopatas, Armas e a Sociedade | Giro de Setembro - SVBR",BláBláLogia,179000,323,https://www.youtube.com/watch?v=96m9VgtXmfE,Outro,Vlog,76,2057
MOLUSCOS DAS PROFUNDEZAS,BláBláLogia,179000,589,https://www.youtube.com/watch?v=XyiTeVMFELg,Biologia,Entrevista,85,4760
ENTENDA: BOLSONARO E STEVE BANNON!!! | Canal do Slow 62,Canal do Slow,153000,1154,https://www.youtube.com/watch?v=VUTiRx9wD34,Política,Vlog,431,351033
A REVOLUÇÃO FRANCESA! | Canal do Slow #11,Canal do Slow,153000,90,https://www.youtube.com/watch?v=GoAyIJloAhw,História,Vlog,1817,213928
O PROBLEMA DA SOCIEDADE! | Canal do Slow 34,Canal do Slow,153000,161,https://www.youtube.com/watch?v=5HiiIY4XLEc,Sociologia,Vlog,1145,180174
NAPOLEÃO BONAPARTE | Canal do Slow #14,Canal do Slow,153000,307,https://www.youtube.com/watch?v=UtvcSXRWRao,História,Vlog,1743,161699
HADDAD X BOLSONARO?! | Canal do Slow 61,Canal do Slow,153000,269,https://www.youtube.com/watch?v=78NOLEYZeTk,Política,Vlog,445,160252
RELIGIÃO! | Canal do Slow #15,Canal do Slow,153000,1127,https://www.youtube.com/watch?v=Etmngmo4tdc,Religião,Vlog,1723,143837
GRÉCIA ANTIGA! 1/2 | #Canal do Slow 20,Canal do Slow,153000,122,https://www.youtube.com/watch?v=b6a9CvhAuwg,História,Vlog,1546,140777
"ALEXANDRE, O GRANDE! | Canal do Slow 55",Canal do Slow,153000,3456,https://www.youtube.com/watch?v=EAhul5r1HQU,História,Vlog,582,136258
A ORIGEM DOS EUROPEUS! | Canal do Slow #05,Canal do Slow,153000,903,https://www.youtube.com/watch?v=KwAKOF4xpzs,História,Vlog,1875,133813
O CONSERVADORISMO! | Canal do Slow 44,Canal do Slow,153000,1013,https://www.youtube.com/watch?v=YSg2w7PHOmM,História,Vlog,856,126648
"Aeroporto, área vip, vinho, vikings, escoceses e trem",Canal do Slow,153000,1241,https://www.youtube.com/watch?v=zrJdMyoIPQE,Outro,Vlog,1993,12689
Um pouco de Gaita,Canal do Slow,153000,117,https://www.youtube.com/watch?v=6r7J6oIW354,Outro,Vlog,1983,5664
"INGLATERRA, O INÍCIO | Canal do Slow #01.",Canal do Slow,153000,1056,https://www.youtube.com/watch?v=JRB3Z72VukE,História,Vlog,1917,91630
Mudanças no canal,Canal do Slow,153000,226,https://www.youtube.com/watch?v=bLJXOgGLAyM,Outro,Vlog,1897,4099
SOMOS 100% HUMANOS? | Canal do Slow #02,Canal do Slow,153000,334,https://www.youtube.com/watch?v=yJ5n6bRDUfk,Biologia,Vlog,1896,27762
O ILUMINISMO! | Canal do Slow #03,Canal do Slow,153000,793,https://www.youtube.com/watch?v=OBzZNHZRGIY,História,Vlog,1889,111316
VIDA EXTRATERRESTRE! ESTAMOS PRONTOS? | Canal do Slow #04,Canal do Slow,153000,530,https://www.youtube.com/watch?v=MM0m__hfCjw,Astronomia,Vlog,1883,46174
EBOLA! | Canal do Slow #06,Canal do Slow,153000,971,https://www.youtube.com/watch?v=BKr-GQADoyw,Biologia,Vlog,1864,15819
HALLOWEEN! | Canal do Slow #07,Canal do Slow,153000,546,https://www.youtube.com/watch?v=_yncIeNwMlM,História,Vlog,1859,18243
ESQUERDA OU DIREITA? INTOLERÂNCIA! | Canal do Slow #08,Canal do Slow,153000,849,https://www.youtube.com/watch?v=bSWMlMKlS0A,Política,Vlog,1848,88852
A MILÍCIA VIRTUAL DO JAIR (CPMI das FakeNews) | Canal do Slow 76,Canal do Slow,153000,63,https://www.youtube.com/watch?v=I1NvV8ncX_4,Política,Vlog,70,74740
ZIKA NA MENTE!? (Novo estudo!) Canal do Slow 75,Canal do Slow,153000,454,https://www.youtube.com/watch?v=z4CfxEocTg8,Biologia,Vlog,101,12218
A TRETA DA AMAZÔNIA (2019) Explicada!!! Canal do Slow 74,Canal do Slow,153000,239,https://www.youtube.com/watch?v=vI9XZjyxtEE,Política,Vlog,120,40573
APRENDA A SE INFORMAR NA INTERNET! | Canal do Slow 73,Canal do Slow,153000,384,https://www.youtube.com/watch?v=m3DkxzEfroU,Outro,Vlog,161,30709
VOCÊ ESTÁ COMENDO PLÁSTICO! | Canal do Slow 72,Canal do Slow,153000,673,https://www.youtube.com/watch?v=n9-7dyU4GOE,Química,Vlog,191,28641
"1964, O ""OUTRO LADO""! (Resposta Brasil Paralelo - entre armas e livros) | Canal do Slow 71",Canal do Slow,153000,3719,https://www.youtube.com/watch?v=RzcLFpPDu0k,História,Vlog,198,108454
O SCIENCEVLOGS E A ERA DA (DES)INFORMAÇÃO! | Canal do Slow,Canal do Slow,153000,348,https://www.youtube.com/watch?v=405z3epLNyk,Outro,Vlog,224,14800
O AQUECIMENTO GLOBAL E A DESIGUALDADE ECONÔMICA! | Canal do Slow 70,Canal do Slow,153000,688,https://www.youtube.com/watch?v=jK5zIvr4G8E,Física,Vlog,225,26465
O SENADO E O CÂNCER (AMIANTO)! Canal do Slow 69,Canal do Slow,153000,888,https://www.youtube.com/watch?v=2SHr0YO969M,Química,Vlog,232,28209
O HOMO LUZONENSIS! #SlowNews | Canal do Slow 68,Canal do Slow,153000,398,https://www.youtube.com/watch?v=I8un7V27CM0,Biologia,Vlog,251,26116
Transmissão ao vivo: Eclipse total Lunar 27/09/2015,Ciência e Astronomia,135000,14090,https://www.youtube.com/watch?v=9VdEWKYXvFU,Astronomia,Vlog,1533,1789585
Tipos de Telescópios - Qual Comprar?,Ciência e Astronomia,135000,427,https://www.youtube.com/watch?v=pOMe-xEx6es,Astronomia,Vlog,1152,463747
Ao vivo: Eclipse Lunar 27 de julho,Ciência e Astronomia,135000,10158,https://www.youtube.com/watch?v=pFLThSOr8uM,Astronomia,Vlog,513,208073
Saiba mais sobre o Eclipse Total do dia 27 de setembro,Ciência e Astronomia,135000,219,https://www.youtube.com/watch?v=i_K11U_hQCE,Astronomia,Vlog,1558,207183
Coreia do Norte divulga fotos da Terra tiradas de seu míssil,Ciência e Astronomia,135000,135,https://www.youtube.com/watch?v=5ZEK_M53qzw,Astronomia,Vlog,937,189137
Eclipse lunar total - Transmissão Ao Vivo 15/04/2014,Ciência e Astronomia,135000,18082,https://www.youtube.com/watch?v=i4eB7dsg5GA,Astronomia,Vlog,2055,169769
Transmissão ao vivo: Eclipse Solar Parcial - 26 de fevereiro,Ciência e Astronomia,135000,9081,https://www.youtube.com/watch?v=lwSYxAIhKB4,Astronomia,Vlog,1024,155342
Transmissão ao vivo: Eclipse Solar 20/03/2015,Ciência e Astronomia,135000,6837,https://www.youtube.com/watch?v=wtvPmA3dT7o,Astronomia,Vlog,1720,138397
Minuto da Astronomia: Ano Luz,Ciência e Astronomia,135000,112,https://www.youtube.com/watch?v=-rYB9sxB9jo,Astronomia,Ensaio,1352,127954
Transmissão ao vivo: Cobertura da chegada da Sonda Juno ao planeta Júpiter,Ciência e Astronomia,135000,6705,https://www.youtube.com/watch?v=uZ91nbqhoKk,Astronomia,Vlog,1256,115155
Saiba como adicionar cometas e asteroides ao Stellarium,Ciência e Astronomia,135000,153,https://www.youtube.com/watch?v=67wCJUCPNKw,Outro,Outro,2208,3488
Hitler ao saber que o Cometa Ison Desintegrou,Ciência e Astronomia,135000,181,https://www.youtube.com/watch?v=etxRQAymxW0,Outro,Outro,2187,4768
11º Hangout Ciência e Astronomia: Formação e Evolução Terrestre,Ciência e Astronomia,135000,4811,https://www.youtube.com/watch?v=ieb3rB1_xXY,Astronomia,Vlog,2176,365
Canal Ciência e Astronomia: 2015,Ciência e Astronomia,135000,26,https://www.youtube.com/watch?v=GgejHD3ahtU,Outro,Outro,2173,24938
Homenagem Carl Sagan,Ciência e Astronomia,135000,324,https://www.youtube.com/watch?v=4UWS6X4v5SI,História,Ensaio,2170,2661
12º Hangout Página Ciência e Astronomia: CERN,Ciência e Astronomia,135000,4686,https://www.youtube.com/watch?v=_TVgc03dnr0,Astronomia,Vlog,2169,1157
13º Hangout Página Ciência e Astronomia: Radioexploração Espacial,Ciência e Astronomia,135000,1976,https://www.youtube.com/watch?v=Z_aeJxIhw3c,Astronomia,Vlog,2149,363
14º Hangout Página Ciência e Astronomia: Projetos PEUE e AstroPE,Ciência e Astronomia,135000,5431,https://www.youtube.com/watch?v=-49nmaol5r8,Astronomia,Vlog,2142,329
15º Hangout Página Ciência e Astronomia: A Carreira Dentro da Ciência,Ciência e Astronomia,135000,5615,https://www.youtube.com/watch?v=1JHQ3nrQNIA,Astronomia,Vlog,2135,1035
16º Hangout Página Ciência e Astronomia: Notícias científicas da semana,Ciência e Astronomia,135000,3290,https://www.youtube.com/watch?v=n0mcPP6bdKc,Astronomia,Vlog,2128,491
Divulgação Científica e Marketing Digital | Live com a V4 Company,Ciência e Astronomia,135000,3701,https://www.youtube.com/watch?v=4csrhmcLEIw,Astronomia,Entrevista,200,977
Marcos Pontes de volta para a Estação Espacial Internacional?,Ciência e Astronomia,135000,322,https://www.youtube.com/watch?v=uRfZf3mJDTo,Astronomia,Entrevista,479,3399
Lançamento ao vivo: Parker Solar Probe (Lançamento adiado),Ciência e Astronomia,135000,6929,https://www.youtube.com/watch?v=dfALxV5mapg,Astronomia,Vlog,499,4498
Redbull Can you make it - Team Galo Veio [ Brazil 2018 ],Ciência e Astronomia,135000,81,https://www.youtube.com/watch?v=nw8HYNdsqyk,Outro,Outro,675,1706
Minuto da Astronomia: E se o sol parasse de produzir energia?,Ciência e Astronomia,135000,75,https://www.youtube.com/watch?v=_RTIFaiMg5E,Astronomia,Ensaio,810,5576
As dificuldades de um astronauta,Ciência e Astronomia,135000,229,https://www.youtube.com/watch?v=ZTalazzc-oE,Astronomia,Vlog,815,7123
CeA #113: A live do fim do Mundo #SQÑ #MaisUma,Ciência e Astronomia,135000,3080,https://www.youtube.com/watch?v=sbo21mzG5D4,Astronomia,Vlog,817,2888
E esse tal de Planeta X/Nibiru/Hercóbulus? É o fim do mundo?,Ciência e Astronomia,135000,221,https://www.youtube.com/watch?v=5gUVimotq-w,Astronomia,Vlog,818,13664
"Cometas, asteroides, meteoros e meteoritos. Qual a diferença?",Ciência e Astronomia,135000,196,https://www.youtube.com/watch?v=o1elGxj1K3M,Astronomia,Vlog,820,9192
O Planeta Terra (Série do Sistema Solar),Ciência e Astronomia,135000,133,https://www.youtube.com/watch?v=wWmUGui1WxI,Astronomia,Vlog,822,4020
SONS DO SISTEMA SOLAR EM 360º!,Guru da Ciência,145000,263,https://www.youtube.com/watch?v=LVI55mSmXo4,Astronomia,Ensaio,932,1408800
INTELIGÊNCIA ARTIFICIAL resolvendo um cubo mágico GIGANTE!,Guru da Ciência,145000,1346,https://www.youtube.com/watch?v=9HG45nykx00,Computação,Ensaio,879,1154159
ENTRANDO EM UM BURACO NEGRO! (360º),Guru da Ciência,145000,182,https://www.youtube.com/watch?v=Un-WjxdjtRc,Astronomia,Ensaio,1265,1036163
Por que Plutão deixou de ser um planeta?,Guru da Ciência,145000,246,https://www.youtube.com/watch?v=TvAOcMgQxRk,Astronomia,Ensaio,2284,439800
CONVERSA entre duas INTELIGÊNCIAS ARTIFICIAIS!,Guru da Ciência,145000,214,https://www.youtube.com/watch?v=8ufRJ28M70I,Computação,Ensaio,1119,380699
O que é a quarta dimensão?,Guru da Ciência,145000,165,https://www.youtube.com/watch?v=eVfkSHkN3sc,Física,Ensaio,1400,325488
A regra dos 5 segundos é real?,Guru da Ciência,145000,321,https://www.youtube.com/watch?v=0aaJ_5o1N4k,Biologia,Ensaio,1019,234255
Como funciona a Organização das Nações Unidas (ONU)?,Guru da Ciência,145000,438,https://www.youtube.com/watch?v=SomD6r_a5ac,Política,Ensaio,1035,203745
estudando pra prova mais difícil do meu curso...,Guru da Ciência,145000,585,https://www.youtube.com/watch?v=VPN8iWjfXKk,Outro,Vlog,78,203921
UM CUBO COM TODAS AS CORES?,Guru da Ciência,145000,341,https://www.youtube.com/watch?v=TOlqbwLIKRg,Física,Ensaio,1065,190255
Café: um vício benéfico?,Guru da Ciência,145000,97,https://www.youtube.com/watch?v=xOGM7TGvC8k,História,Ensaio,2617,12163
Votar em branco ou em nulo: qual a diferença?,Guru da Ciência,145000,49,https://www.youtube.com/watch?v=e1yx96wlVJM,Política,Ensaio,2610,10844
Turismo Espacial,Guru da Ciência,145000,61,https://www.youtube.com/watch?v=ITwasGyXzps,Astronomia,Ensaio,2606,4794
Um mundo igual para todos?,Guru da Ciência,145000,81,https://www.youtube.com/watch?v=vS6JkPiEcKg,Política,Ensaio,2602,3101
Como criar um CPF,Guru da Ciência,145000,85,https://www.youtube.com/watch?v=ErzeMkoxZpY,Matemática,Ensaio,2600,69635
Como medir a velocidade da luz,Guru da Ciência,145000,91,https://www.youtube.com/watch?v=a8vf1Y-V838,Física,Ensaio,2573,35186
Como calcular seu IMC,Guru da Ciência,145000,36,https://www.youtube.com/watch?v=JvmAJW3nVs4,Física,Ensaio,2506,17669
O Impostômetro,Guru da Ciência,145000,116,https://www.youtube.com/watch?v=YXOuyX4M3Wg,Política,Ensaio,2345,3679
A primeira lei de Newton - Lei da Inércia,Guru da Ciência,145000,130,https://www.youtube.com/watch?v=C_j9MHT82q8,Física,Ensaio,2323,176679
A segunda lei de Newton - O princípio fundamental da dinâmica,Guru da Ciência,145000,72,https://www.youtube.com/watch?v=IreeoDK2PRg,Física,Ensaio,2317,133269
passamos 24 HORAS estudando,Guru da Ciência,145000,565,https://www.youtube.com/watch?v=mr2RG3Bm6gE,Outro,Vlog,138,72217
Como é estudar CIÊNCIA DA COMPUTAÇÃO na ALEMANHA? 🇩🇪,Guru da Ciência,145000,1014,https://www.youtube.com/watch?v=eVR5BFeerHg,Computação,Vlog,184,123378
COMPLEXIDADE de ALGORITMOS no MINECRAFT!,Guru da Ciência,145000,517,https://www.youtube.com/watch?v=5LQNW3XKJUA,Computação,Ensaio,192,115639
"O Sol, a nossa estrela viva.",Guru da Ciência,145000,1484,https://www.youtube.com/watch?v=jhAym1qoo-s,Astronomia,Ensaio,227,13486
RESPONDENDO PERGUNTAS ft. Matemática Rio!,Guru da Ciência,145000,682,https://www.youtube.com/watch?v=7pyQoNs9m-E,Outro,Vlog,239,27613
HACKEEI os computadores da minha UNIVERSIDADE? 👨🏻‍💻,Guru da Ciência,145000,636,https://www.youtube.com/watch?v=CmbkB893u78,Computação,Vlog,282,114354
Como criar um emoji 👌💯🔥,Guru da Ciência,145000,487,https://www.youtube.com/watch?v=9_txUjThUXY,Computação,Ensaio,479,53668
Como visitar as estrelas... sem sair da Terra,Guru da Ciência,145000,268,https://www.youtube.com/watch?v=Dn70CylH57k,Astronomia,Ensaio,563,23559
MARTE: O PLANETA VERMELHO EM 360º!,Guru da Ciência,145000,690,https://www.youtube.com/watch?v=7kSm291X_ho,Astronomia,Ensaio,574,56546
INTELIGÊNCIA ARTIFICIAL aprende a FALAR com MINHA VOZ!,Guru da Ciência,145000,293,https://www.youtube.com/watch?v=4Wue2H9V_Ko,Computação,Ensaio,590,44862
O que é o Gato de Schrödinger? | Minuto da Física,Minuto da Física,117000,118,https://www.youtube.com/watch?v=ndZl7L_ciAQ,Física,Draw,2334,428746
É melhor andar ou correr na chuva? | Minuto da Física,Minuto da Física,117000,122,https://www.youtube.com/watch?v=Dld8WBqAH2g,Física,Draw,2341,236967
Erros comuns na Física! | Minuto da Física,Minuto da Física,117000,174,https://www.youtube.com/watch?v=OBSF3_KUn5w,Física,Draw,2265,200322
Você conhece o Paradoxo de Simpson em estatística? | Minuto da Física,Minuto da Física,117000,281,https://www.youtube.com/watch?v=FBsVRJVA0ro,Física,Draw,275,158466
Como ultrapassar a velocidade da luz,Minuto da Física,117000,93,https://www.youtube.com/watch?v=Y7_RPVJdauY,Física,Draw,2348,149687
COMO VER SEM ÓCULOS,Minuto da Física,117000,181,https://www.youtube.com/watch?v=M-py4t4zi24,Física,Draw,1966,144781
Prêmio Nobel de 2012: Como vemos a luz?,Minuto da Física,117000,166,https://www.youtube.com/watch?v=kZ6SupDE_AY,Física,Draw,2319,124921
QUÃO DISTANTE É UM SEGUNDO?,Minuto da Física,117000,106,https://www.youtube.com/watch?v=M42nzPiseuk,Física,Draw,1960,112436
E=mc² está Incompleta,Minuto da Física,117000,137,https://www.youtube.com/watch?v=E5_RH3h-0eE,Física,Draw,2370,110772
O que é a Gravidade?,Minuto da Física,117000,119,https://www.youtube.com/watch?v=J8MzNTbQmfQ,Física,Draw,2049,107450
O Som do Hidrogênio,Minuto da Física,117000,75,https://www.youtube.com/watch?v=0BEbhsc109A,Física,Draw,2374,61604
Prova Sem Palavras: O Círculo,Minuto da Física,117000,80,https://www.youtube.com/watch?v=6QUvwUAXTu4,Física,Draw,2368,57509
O que é o Fogo?,Minuto da Física,117000,104,https://www.youtube.com/watch?v=_VkxCtf0yKk,Física,Draw,2362,93677
O Que é uma Dimensão? Em 3D... e 2D... e 1D,Minuto da Física,117000,92,https://www.youtube.com/watch?v=xo2W9_f2zEA,Física,Draw,2355,103098
Como Contar o Infinito,Minuto da Física,117000,142,https://www.youtube.com/watch?v=co1WTsKedR4,Física,Draw,2307,104317
O que é um Neutrino?,Minuto da Física,117000,108,https://www.youtube.com/watch?v=arr33nt1wsU,Física,Draw,2273,79759
Como somar ALÉM do infinito? (cuidado: matemática envolvida!),Minuto da Física,117000,71,https://www.youtube.com/watch?v=ZWwmvPFEs3M,Física,Draw,2255,40291
Vídeo do YouTube vs O Universo,Minuto da Física,117000,73,https://www.youtube.com/watch?v=Hvf1LbVRFQA,Física,Draw,2245,29650
Domesticando o Infinito,Minuto da Física,117000,128,https://www.youtube.com/watch?v=GCkHigwDgyI,Física,Draw,2242,66151
Arco-Íris explicado em dez segundos,Minuto da Física,117000,26,https://www.youtube.com/watch?v=UQGxdb4-S6A,Física,Draw,2181,43301
O homem que corrigiu EINSTEIN! | Minuto da Física,Minuto da Física,117000,362,https://www.youtube.com/watch?v=-HwRqoJN1UA,Física,Draw,60,42985
