Título,Canal,Inscritos,Duração,Link,Tema,Formato,Data,Visualizações
SABEDORIA É PODER (com Foucault),Alimente o Cérebro,157,04:02,https://www.youtube.com/watch?v=jcd_oJ1AK7E&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=12&t=0s,Filosofia,Ensaio,24 de jul. de 2014,73574
A CIÊNCIA DA VIDA FORA DA TERRA (com Carl Sagan),Alimente o Cérebro,157,03:56,https://www.youtube.com/watch?v=uwia1pBuL-Q&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=13&t=0s,Astronomia,Ensaio,28 de jul. de 2014,9306
O INFERNO SÃO OS OUTROS (com Sartre),Alimente o Cérebro,157,06:00,https://www.youtube.com/watch?v=TgBlqr8vvRs&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=14&t=0s,Filosofia,Vlog,09 de set. de 2014,32515
A FILOSOFIA DE MATRIX (com René Descartes),Alimente o Cérebro,157,05:45,https://www.youtube.com/watch?v=0GQPfQQwLzU&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=15&t=0s,Filosofia,Vlog,15 de set. de 2014,42291
DESCOBERTO NOSSO NOVO ENDEREÇO CÓSMICO,Alimente o Cérebro,157,03:53,https://www.youtube.com/watch?v=2QbYxgZDFGw&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=16&t=0s,Astronomia,Vlog,16 de set. de 2014,8938
A OBRA PRIMA DA MPB (com Chico Buarque),Alimente o Cérebro,157,05:39,https://www.youtube.com/watch?v=aPIeuJzo4Mk&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=17&t=0s,Música,Vlog,17 de set. de 2014,9388
COMPREENDER MAIS PARA TEMER MENOS (com Marie Curie),Alimente o Cérebro,157,04:02,https://www.youtube.com/watch?v=OctipaE6TJg&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=18&t=0s,História,Ensaio,24 de set. de 2014,8282
FILMES PARA ALIMENTAR O CÉREBRO #1,Alimente o Cérebro,157,05:13,https://www.youtube.com/watch?v=8cryb4Xbp2o&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=19&t=0s,Cinema,Vlog,01 de nov. de 2014,26522
O MUNDO NÃO É PRETO OU BRANCO,Alimente o Cérebro,157,03:23,https://www.youtube.com/watch?v=nErnOWdvdh0&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=20&t=0s,Sociologia,Vlog,04 de nov. de 2014,6071
INTERESTELAR É O CINEMA INTELIGENTE,Alimente o Cérebro,157,07:26,https://www.youtube.com/watch?v=AiUkZXQTN1M&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=21&t=0s,Cinema,Vlog,10 de nov. de 2014,10668
O que acho da Ayn Rand e da astrologia | #PergunteAoCérebro,Alimente o Cérebro,157,07:58,https://www.youtube.com/watch?v=OZ_8bTxYUf8&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=22&t=0s,Opinião,Vlog,03 de set. de 2019,2605
EU DEIXEI O MUNDO ME EMBURRECER,Alimente o Cérebro,157,07:27,https://www.youtube.com/watch?v=Ix63KiiJPCQ&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=23&t=0s,Opinião,Vlog,03 de ago. de 2019,7284
ALIMENTE O CÉREBRO COM KANT,Alimente o Cérebro,157,13:36,https://www.youtube.com/watch?v=OIaJ_qH7EKQ&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=24&t=0s,Filosofia,Vlog,11 de jun. de 2019,6886
ALIMENTE O CÉREBRO COM PITTY (Matriz),Alimente o Cérebro,157,11:12,https://www.youtube.com/watch?v=gWScSeSUjJo&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=25&t=0s,Música,Vlog,05 de jun. de 2019,3244
gentili e o paradoxo da tolerância de karl popper,Alimente o Cérebro,157,06:20,https://www.youtube.com/watch?v=onc2_2nKPvw&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=26&t=0s,Filosofia,Vlog,12 de abr. de 2019,11727
CLUBE DO ALIMENTE O CÉREBRO,Alimente o Cérebro,157,05:31,https://www.youtube.com/watch?v=dAh4fP9jDTg&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=27&t=0s,Outro,Vlog,02 de abr. de 2019,1220
o que aprendi com o universo,Alimente o Cérebro,157,06:19,https://www.youtube.com/watch?v=NtcmiWppVoI&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=28&t=0s,Filosofia,Vlog,26 de mar. de 2019,3032
por que não acredito em karma,Alimente o Cérebro,157,05:55,https://www.youtube.com/watch?v=Q2rDqmIONPA&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=29&t=0s,Filosofia,Vlog,18 de mar. de 2019,4594
como reencontrei minha auto-estima,Alimente o Cérebro,157,07:51,https://www.youtube.com/watch?v=urW1b60Z4GA&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=30&t=0s,Opinião,Vlog,08 de mar. de 2019,6568
MAPA MENTAL DE KARL MARX,Alimente o Cérebro,157,10:08,https://www.youtube.com/watch?v=JCWqYtxpaAA&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=31&t=0s,Filosofia,Vlog,21 de fev. de 2019,6440
O Mergulho da Cassini - Primeiras Imagens - Guia do Espaço 23 | Bláblálogia,BláBláLogia,179,11:47,https://www.youtube.com/watch?v=C14rK2zeQoA&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=32&t=0s,Astronomia,Ensaio,29 de abr. de 2017,606128
O que é solstício e equinócio? - Quer Que Desenhe 8,BláBláLogia,179,05:41,https://www.youtube.com/watch?v=fiqAyKOmoEI&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=33&t=0s,Astronomia,Draw,19 de set. de 2016,249291
ESPECIAL DE NATAL: Criacionismo Judaico-cristão! - Curiosity 16 | Blablalogia,BláBláLogia,179,06:11,https://www.youtube.com/watch?v=deElVJGIZBc&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=34&t=0s,Religião,Vlog,24 de dez. de 2016,242538
Café com JOVEM NERD! - Café Com Quê? 7 | BláBláLogia,BláBláLogia,179,15:02,https://www.youtube.com/watch?v=6XBlVWihT68&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=35&t=0s,Opinião,Entrevista,13 de fev. de 2017,179661
Criacionismos: Conheçam o Zoroastrismo!!! - Curiosity 14 | BláBláLogia,BláBláLogia,179,23:12,https://www.youtube.com/watch?v=lCRV8c7izpg&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=36&t=0s,Religião,Vlog,05 de dez. de 2016,178647
#Curiosity 3 - Cientologia,BláBláLogia,179,11:42,https://www.youtube.com/watch?v=23f2Q7zt_pE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=37&t=0s,Religião,Vlog,04 de jul. de 2016,158659
Criacionismo Sumério - Curiosity 12,BláBláLogia,179,19:13,https://www.youtube.com/watch?v=Qa83Fsg3VOY&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=38&t=0s,Religião,Vlog,07 de nov. de 2016,150777
Café com Filósofos - Café com Quê? 5 | BláBlálogia,BláBláLogia,179,06:08,https://www.youtube.com/watch?v=jrRjlqEp2lE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=39&t=0s,Opinião,Vlog,11 de jan. de 2017,147949
#Curiosity 1 - O Deus das Caixas (Culto a Carga),BláBláLogia,179,10:33,https://www.youtube.com/watch?v=8v6MmInvSSY&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=40&t=0s,Religião,Vlog,06 de jun. de 2016,144621
Seres Mitológicos Inspirados em Fósseis Reais - Curiosity 15,BláBláLogia,179,16:31,https://www.youtube.com/watch?v=jeMlS5smEig&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=41&t=0s,Biologia,Vlog,20 de dez. de 2016,117640
BláBláLogia,BláBláLogia,179,00:57,https://www.youtube.com/watch?v=F5H8XMBnoqQ&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=42&t=0s,Outro,Outro,05 de jun. de 2016,104870
#AnotaAí 1 - Mutualismo,BláBláLogia,179,02:11,https://www.youtube.com/watch?v=7doHcgUtYEQ&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=43&t=0s,Biologia,Draw,07 de jun. de 2016,35528
"#PCR 1 - Tardígrados: onde vivem, são imortais?",BláBláLogia,179,03:39,https://www.youtube.com/watch?v=d5ynR4RZ1Q4&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=44&t=0s,Biologia,Vlog,08 de jun. de 2016,40529
#TopModels 1 - O que são Modelos?,BláBláLogia,179,03:45,https://www.youtube.com/watch?v=pM2jTmhAk_0&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=45&t=0s,Outro,Vlog,09 de jun. de 2016,26385
#Garrancho 1 - Por que o milho aparece no cocô?,BláBláLogia,179,02:32,https://www.youtube.com/watch?v=6L1jrfzWXDs&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=46&t=0s,Biologia,Draw,10 de jun. de 2016,35079
#PorDentro 1 - Dor,BláBláLogia,179,02:36,https://www.youtube.com/watch?v=kaxT1qa2Ju0&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=47&t=0s,Biologia,Vlog,11 de jun. de 2016,25217
#QuerQueDesenhe? 1 - Peso e Massa! Entenda finalmente a diferença,BláBláLogia,179,07:29,https://www.youtube.com/watch?v=upguBOEhq4c&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=48&t=0s,Física,Draw,13 de jun. de 2016,100205
NINJAS E SAMURAIS - A Origem de Tudo 1,BláBláLogia,179,08:48,https://www.youtube.com/watch?v=EE5MqdhMz7I&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=49&t=0s,História,Vlog,14 de jun. de 2016,71281
Teaser - Clube da Toalha 0,BláBláLogia,179,00:58,https://www.youtube.com/watch?v=_gdVoeUFv5c&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=50&t=0s,Outro,Vlog,15 de jun. de 2016,14908
#BoaTemática 1- 25% ou 50%?,BláBláLogia,179,02:41,https://www.youtube.com/watch?v=Y9jvm4y5FZQ&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=51&t=0s,Matemática,Vlog,16 de jun. de 2016,19345
BICHO DE PÉ! 120segundos 45| BláBláLogia,BláBláLogia,179,03:19,https://www.youtube.com/watch?v=OuLu6l_B7Kw&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=52&t=0s,Biologia,Vlog,20 de nov. de 2019,111068
QUE BAFO! 120segundos 44 | BláBláLogia,BláBláLogia,179,03:22,https://www.youtube.com/watch?v=dv7EN1wB1v8&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=53&t=0s,Biologia,Vlog,13 de nov. de 2019,5161
Novos canais no Science Vlogs Brasil! | Giro SVBR,BláBláLogia,179,08:24,https://www.youtube.com/watch?v=qGxtwMeTF4k&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=54&t=0s,Outro,Vlog,12 de nov. de 2019,1683
PEDRA NOS RINS! 120segundos 43 | BláBláLogia,BláBláLogia,179,03:19,https://www.youtube.com/watch?v=d0ECTOfp0ME&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=55&t=0s,Biologia,Vlog,06 de nov. de 2019,5022
5 DICAS PARA O ENEM! 120segundos 42 | BláBláLogia,BláBláLogia,179,04:48,https://www.youtube.com/watch?v=BFj_kJg8XNw&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=56&t=0s,Outro,Vlog,02 de nov. de 2019,3804
POR QUE OS CABELOS EMBRANQUECEM? 120segundos 41 | BláBláLogia,BláBláLogia,179,03:49,https://www.youtube.com/watch?v=1bMWhyUtZzc&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=57&t=0s,Biologia,Vlog,30 de out. de 2019,6486
OLHEIRAS! - 120segundos 40 | BláBláLogia,BláBláLogia,179,02:58,https://www.youtube.com/watch?v=VM8GyCxzBlE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=58&t=0s,Biologia,Vlog,23 de out. de 2019,10330
BERNE! - 120segundos 39 | BláBláLogia,BláBláLogia,179,03:21,https://www.youtube.com/watch?v=QU-z-_EjmDE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=59&t=0s,Biologia,Vlog,16 de out. de 2019,23540
"HIV, Psicopatas, Armas e a Sociedade | Giro de Setembro - SVBR",BláBláLogia,179,05:23,https://www.youtube.com/watch?v=96m9VgtXmfE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=60&t=0s,Outro,Vlog,14 de out. de 2019,2057
MOLUSCOS DAS PROFUNDEZAS,BláBláLogia,179,09:49,https://www.youtube.com/watch?v=XyiTeVMFELg&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=61&t=0s,Biologia,Entrevista,05 de out. de 2019,4760
ENTENDA: BOLSONARO E STEVE BANNON!!! | Canal do Slow 62,Canal do Slow,153,19:14,https://www.youtube.com/watch?v=VUTiRx9wD34&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=62&t=0s,Política,Vlog,19 de out. de 2018,351033
A REVOLUÇÃO FRANCESA! | Canal do Slow #11,Canal do Slow,153,01:30,https://www.youtube.com/watch?v=GoAyIJloAhw&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=63&t=0s,História,Vlog,13 de dez. de 2014,213928
O PROBLEMA DA SOCIEDADE! | Canal do Slow 34,Canal do Slow,153,02:41,https://www.youtube.com/watch?v=5HiiIY4XLEc&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=64&t=0s,Sociologia,Vlog,25 de out. de 2016,180174
NAPOLEÃO BONAPARTE | Canal do Slow #14,Canal do Slow,153,05:07,https://www.youtube.com/watch?v=UtvcSXRWRao&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=65&t=0s,História,Vlog,27 de fev. de 2015,161699
HADDAD X BOLSONARO?! | Canal do Slow 61,Canal do Slow,153,04:29,https://www.youtube.com/watch?v=78NOLEYZeTk&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=66&t=0s,Política,Vlog,05 de out. de 2018,160252
RELIGIÃO! | Canal do Slow #15,Canal do Slow,153,18:47,https://www.youtube.com/watch?v=Etmngmo4tdc&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=67&t=0s,Religião,Vlog,17 de mar. de 2015,143837
GRÉCIA ANTIGA! 1/2 | #Canal do Slow 20,Canal do Slow,153,02:02,https://www.youtube.com/watch?v=b6a9CvhAuwg&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=68&t=0s,História,Vlog,14 de set. de 2015,140777
"ALEXANDRE, O GRANDE! | Canal do Slow 55",Canal do Slow,153,57:36,https://www.youtube.com/watch?v=EAhul5r1HQU&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=69&t=0s,História,Vlog,18 de mai. de 2018,136258
A ORIGEM DOS EUROPEUS! | Canal do Slow #05,Canal do Slow,153,15:03,https://www.youtube.com/watch?v=KwAKOF4xpzs&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=70&t=0s,História,Vlog,15 de out. de 2014,133813
O CONSERVADORISMO! | Canal do Slow 44,Canal do Slow,153,16:53,https://www.youtube.com/watch?v=YSg2w7PHOmM&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=71&t=0s,História,Vlog,14 de ago. de 2017,126648
"Aeroporto, área vip, vinho, vikings, escoceses e trem",Canal do Slow,153,20:41,https://www.youtube.com/watch?v=zrJdMyoIPQE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=72&t=0s,Outro,Vlog,17 de jun. de 2014,12689
Um pouco de Gaita,Canal do Slow,153,01:57,https://www.youtube.com/watch?v=6r7J6oIW354&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=73&t=0s,Outro,Vlog,27 de jun. de 2014,5664
"INGLATERRA, O INÍCIO | Canal do Slow #01.",Canal do Slow,153,17:36,https://www.youtube.com/watch?v=JRB3Z72VukE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=74&t=0s,História,Vlog,03 de set. de 2014,91630
Mudanças no canal,Canal do Slow,153,03:46,https://www.youtube.com/watch?v=bLJXOgGLAyM&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=75&t=0s,Outro,Vlog,23 de set. de 2014,4099
SOMOS 100% HUMANOS? | Canal do Slow #02,Canal do Slow,153,05:34,https://www.youtube.com/watch?v=yJ5n6bRDUfk&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=76&t=0s,Biologia,Vlog,24 de set. de 2014,27762
O ILUMINISMO! | Canal do Slow #03,Canal do Slow,153,13:13,https://www.youtube.com/watch?v=OBzZNHZRGIY&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=77&t=0s,História,Vlog,01 de out. de 2014,111316
VIDA EXTRATERRESTRE! ESTAMOS PRONTOS? | Canal do Slow #04,Canal do Slow,153,08:50,https://www.youtube.com/watch?v=MM0m__hfCjw&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=78&t=0s,Astronomia,Vlog,07 de out. de 2014,46174
EBOLA! | Canal do Slow #06,Canal do Slow,153,16:11,https://www.youtube.com/watch?v=BKr-GQADoyw&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=79&t=0s,Biologia,Vlog,26 de out. de 2014,15819
HALLOWEEN! | Canal do Slow #07,Canal do Slow,153,09:06,https://www.youtube.com/watch?v=_yncIeNwMlM&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=80&t=0s,História,Vlog,01 de nov. de 2014,18243
ESQUERDA OU DIREITA? INTOLERÂNCIA! | Canal do Slow #08,Canal do Slow,153,14:09,https://www.youtube.com/watch?v=bSWMlMKlS0A&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=81&t=0s,Política,Vlog,12 de nov. de 2014,88852
A MILÍCIA VIRTUAL DO JAIR (CPMI das FakeNews) | Canal do Slow 76,Canal do Slow,153,01:03,https://www.youtube.com/watch?v=I1NvV8ncX_4&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=82&t=0s,Política,Vlog,20 de out. de 2019,74740
ZIKA NA MENTE!? (Novo estudo!) Canal do Slow 75,Canal do Slow,153,07:34,https://www.youtube.com/watch?v=z4CfxEocTg8&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=83&t=0s,Biologia,Vlog,19 de set. de 2019,12218
A TRETA DA AMAZÔNIA (2019) Explicada!!! Canal do Slow 74,Canal do Slow,153,03:59,https://www.youtube.com/watch?v=vI9XZjyxtEE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=84&t=0s,Política,Vlog,30 de ago. de 2019,40573
APRENDA A SE INFORMAR NA INTERNET! | Canal do Slow 73,Canal do Slow,153,06:24,https://www.youtube.com/watch?v=m3DkxzEfroU&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=85&t=0s,Outro,Vlog,19 de jul. de 2019,30709
VOCÊ ESTÁ COMENDO PLÁSTICO! | Canal do Slow 72,Canal do Slow,153,11:13,https://www.youtube.com/watch?v=n9-7dyU4GOE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=86&t=0s,Química,Vlog,19 de jun. de 2019,28641
"1964, O ""OUTRO LADO""! (Resposta Brasil Paralelo - entre armas e livros) | Canal do Slow 71",Canal do Slow,153,61:59,https://www.youtube.com/watch?v=RzcLFpPDu0k&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=87&t=0s,História,Vlog,12 de jun. de 2019,108454
O SCIENCEVLOGS E A ERA DA (DES)INFORMAÇÃO! | Canal do Slow,Canal do Slow,153,05:48,https://www.youtube.com/watch?v=405z3epLNyk&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=88&t=0s,Outro,Vlog,16 de mai. de 2019,14800
O AQUECIMENTO GLOBAL E A DESIGUALDADE ECONÔMICA! | Canal do Slow 70,Canal do Slow,153,11:28,https://www.youtube.com/watch?v=jK5zIvr4G8E&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=89&t=0s,Física,Vlog,15 de mai. de 2019,26465
O SENADO E O CÂNCER (AMIANTO)! Canal do Slow 69,Canal do Slow,153,14:48,https://www.youtube.com/watch?v=2SHr0YO969M&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=90&t=0s,Química,Vlog,08 de mai. de 2019,28209
O HOMO LUZONENSIS! #SlowNews | Canal do Slow 68,Canal do Slow,153,06:38,https://www.youtube.com/watch?v=I8un7V27CM0&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=91&t=0s,Biologia,Vlog,19 de abr. de 2019,26116
Transmissão ao vivo: Eclipse total Lunar 27/09/2015,Ciência e Astronomia,135,234:50,https://www.youtube.com/watch?v=9VdEWKYXvFU&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=92&t=0s,Astronomia,Vlog,27 de set. de 2015,1789585
Tipos de Telescópios - Qual Comprar?,Ciência e Astronomia,135,07:07,https://www.youtube.com/watch?v=pOMe-xEx6es&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=93&t=0s,Astronomia,Vlog,18 de out. de 2016,463747
Ao vivo: Eclipse Lunar 27 de julho,Ciência e Astronomia,135,169:18,https://www.youtube.com/watch?v=pFLThSOr8uM&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=94&t=0s,Astronomia,Vlog,27 de jul. de 2018,208073
Saiba mais sobre o Eclipse Total do dia 27 de setembro,Ciência e Astronomia,135,03:39,https://www.youtube.com/watch?v=i_K11U_hQCE&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=95&t=0s,Astronomia,Vlog,02 de set. de 2015,207183
Coreia do Norte divulga fotos da Terra tiradas de seu míssil,Ciência e Astronomia,135,02:15,https://www.youtube.com/watch?v=5ZEK_M53qzw&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=96&t=0s,Astronomia,Vlog,23 de mai. de 2017,189137
Eclipse lunar total - Transmissão Ao Vivo 15/04/2014,Ciência e Astronomia,135,301:22,https://www.youtube.com/watch?v=i4eB7dsg5GA&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=97&t=0s,Astronomia,Vlog,15 de abr. de 2014,169769
Transmissão ao vivo: Eclipse Solar Parcial - 26 de fevereiro,Ciência e Astronomia,135,151:21,https://www.youtube.com/watch?v=lwSYxAIhKB4&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=98&t=0s,Astronomia,Vlog,26 de fev. de 2017,155342
Transmissão ao vivo: Eclipse Solar 20/03/2015,Ciência e Astronomia,135,113:57,https://www.youtube.com/watch?v=wtvPmA3dT7o&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=99&t=0s,Astronomia,Vlog,20 de mar. De 2015,138397
Minuto da Astronomia: Ano Luz,Ciência e Astronomia,135,01:52,https://www.youtube.com/watch?v=-rYB9sxB9jo&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=100&t=0s,Astronomia,Ensaio,28 de mar. de 2016,127954
Transmissão ao vivo: Cobertura da chegada da Sonda Juno ao planeta Júpiter,Ciência e Astronomia,135,111:45,https://www.youtube.com/watch?v=uZ91nbqhoKk&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=101&t=0s,Astronomia,Vlog,04 de jul. de 2016,115155
Saiba como adicionar cometas e asteroides ao Stellarium,Ciência e Astronomia,135,02:33,https://www.youtube.com/watch?v=67wCJUCPNKw&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=102&t=0s,Outro,Outro,12 de nov. de 2013,3488
