,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation,continent
30,Albania,1989,female,15-24 years,5,299900,1.67,"2,335,124,988",833,Generation X,Europe
31,Albania,1989,female,25-34 years,2,266300,0.75,"2,335,124,988",833,Boomers,Europe
32,Albania,1989,female,55-74 years,1,149600,0.67,"2,335,124,988",833,G.I. Generation,Europe
33,Albania,1989,female,5-14 years,0,321900,0.0,"2,335,124,988",833,Generation X,Europe
34,Albania,1989,female,75+ years,0,37000,0.0,"2,335,124,988",833,G.I. Generation,Europe
35,Albania,1989,male,5-14 years,0,349700,0.0,"2,335,124,988",833,Generation X,Europe
36,Albania,1992,male,35-54 years,12,343800,3.49,"709,452,584",251,Boomers,Europe
37,Albania,1992,male,15-24 years,9,263700,3.41,"709,452,584",251,Generation X,Europe
38,Albania,1992,male,55-74 years,5,159500,3.13,"709,452,584",251,Silent,Europe
39,Albania,1992,male,25-34 years,7,245500,2.85,"709,452,584",251,Boomers,Europe
40,Albania,1992,female,15-24 years,7,292400,2.39,"709,452,584",251,Generation X,Europe
41,Albania,1992,female,25-34 years,4,267400,1.5,"709,452,584",251,Boomers,Europe
42,Albania,1992,female,35-54 years,2,323100,0.62,"709,452,584",251,Boomers,Europe
43,Albania,1992,female,55-74 years,1,164900,0.61,"709,452,584",251,Silent,Europe
44,Albania,1992,female,5-14 years,0,336700,0.0,"709,452,584",251,Millenials,Europe
45,Albania,1992,female,75+ years,0,38700,0.0,"709,452,584",251,G.I. Generation,Europe
46,Albania,1992,male,5-14 years,0,362900,0.0,"709,452,584",251,Millenials,Europe
47,Albania,1992,male,75+ years,0,23900,0.0,"709,452,584",251,G.I. Generation,Europe
48,Albania,1993,male,15-24 years,18,243300,7.4,"1,228,071,038",437,Generation X,Europe
49,Albania,1993,male,55-74 years,7,165000,4.24,"1,228,071,038",437,Silent,Europe
50,Albania,1993,male,75+ years,1,24200,4.13,"1,228,071,038",437,G.I. Generation,Europe
51,Albania,1993,male,25-34 years,9,230100,3.91,"1,228,071,038",437,Boomers,Europe
52,Albania,1993,female,15-24 years,10,285300,3.51,"1,228,071,038",437,Generation X,Europe
53,Albania,1993,male,35-54 years,10,350300,2.85,"1,228,071,038",437,Boomers,Europe
54,Albania,1993,female,25-34 years,7,261800,2.67,"1,228,071,038",437,Boomers,Europe
55,Albania,1993,female,35-54 years,7,331200,2.11,"1,228,071,038",437,Boomers,Europe
56,Albania,1993,female,55-74 years,2,169500,1.18,"1,228,071,038",437,Silent,Europe
57,Albania,1993,female,5-14 years,1,340300,0.29,"1,228,071,038",437,Millenials,Europe
58,Albania,1993,male,5-14 years,1,367000,0.27,"1,228,071,038",437,Millenials,Europe
59,Albania,1993,female,75+ years,0,39300,0.0,"1,228,071,038",437,G.I. Generation,Europe
60,Albania,1994,male,75+ years,2,24600,8.13,"1,985,673,798",697,G.I. Generation,Europe
61,Albania,1994,male,55-74 years,11,171400,6.42,"1,985,673,798",697,Silent,Europe
62,Albania,1994,female,75+ years,2,39900,5.01,"1,985,673,798",697,G.I. Generation,Europe
63,Albania,1994,male,25-34 years,6,231400,2.59,"1,985,673,798",697,Boomers,Europe
64,Albania,1994,male,35-54 years,9,362800,2.48,"1,985,673,798",697,Boomers,Europe
65,Albania,1994,male,15-24 years,6,242200,2.48,"1,985,673,798",697,Generation X,Europe
66,Albania,1994,female,15-24 years,6,282600,2.12,"1,985,673,798",697,Generation X,Europe
67,Albania,1994,female,25-34 years,4,261100,1.53,"1,985,673,798",697,Boomers,Europe
68,Albania,1994,female,35-54 years,2,342500,0.58,"1,985,673,798",697,Boomers,Europe
69,Albania,1994,female,55-74 years,1,174600,0.57,"1,985,673,798",697,Silent,Europe
70,Albania,1994,male,5-14 years,1,371800,0.27,"1,985,673,798",697,Millenials,Europe
71,Albania,1994,female,5-14 years,0,344400,0.0,"1,985,673,798",697,Millenials,Europe
72,Albania,1995,male,25-34 years,13,232900,5.58,"2,424,499,009",835,Generation X,Europe
73,Albania,1995,male,55-74 years,9,178000,5.06,"2,424,499,009",835,Silent,Europe
74,Albania,1995,female,75+ years,2,40800,4.9,"2,424,499,009",835,G.I. Generation,Europe
75,Albania,1995,female,15-24 years,13,283500,4.59,"2,424,499,009",835,Generation X,Europe
76,Albania,1995,male,15-24 years,11,241200,4.56,"2,424,499,009",835,Generation X,Europe
77,Albania,1995,male,75+ years,1,25100,3.98,"2,424,499,009",835,G.I. Generation,Europe
78,Albania,1995,male,35-54 years,14,375900,3.72,"2,424,499,009",835,Boomers,Europe
79,Albania,1995,female,25-34 years,7,264000,2.65,"2,424,499,009",835,Generation X,Europe
80,Albania,1995,female,35-54 years,8,356400,2.24,"2,424,499,009",835,Boomers,Europe
81,Albania,1995,male,5-14 years,6,376500,1.59,"2,424,499,009",835,Millenials,Europe
82,Albania,1995,female,55-74 years,2,180400,1.11,"2,424,499,009",835,Silent,Europe
83,Albania,1995,female,5-14 years,2,348700,0.57,"2,424,499,009",835,Millenials,Europe
84,Albania,1996,male,75+ years,2,25400,7.87,"3,314,898,292",1127,G.I. Generation,Europe
85,Albania,1996,male,15-24 years,17,243600,6.98,"3,314,898,292",1127,Generation X,Europe
86,Albania,1996,male,25-34 years,14,235300,5.95,"3,314,898,292",1127,Generation X,Europe
87,Albania,1996,female,15-24 years,16,287700,5.56,"3,314,898,292",1127,Generation X,Europe
88,Albania,1996,female,75+ years,2,41200,4.85,"3,314,898,292",1127,G.I. Generation,Europe
89,Albania,1996,female,25-34 years,10,267900,3.73,"3,314,898,292",1127,Generation X,Europe
90,Albania,1996,male,35-54 years,12,379600,3.16,"3,314,898,292",1127,Boomers,Europe
91,Albania,1996,female,35-54 years,9,362000,2.49,"3,314,898,292",1127,Boomers,Europe
92,Albania,1996,male,55-74 years,3,179900,1.67,"3,314,898,292",1127,Silent,Europe
93,Albania,1996,female,55-74 years,1,183100,0.55,"3,314,898,292",1127,Silent,Europe
94,Albania,1996,male,5-14 years,2,380400,0.53,"3,314,898,292",1127,Millenials,Europe
95,Albania,1996,female,5-14 years,1,354100,0.28,"3,314,898,292",1127,Millenials,Europe
96,Albania,1997,male,25-34 years,36,236000,15.25,"2,359,903,108",793,Generation X,Europe
97,Albania,1997,male,15-24 years,33,244400,13.5,"2,359,903,108",793,Generation X,Europe
98,Albania,1997,male,75+ years,3,25400,11.81,"2,359,903,108",793,G.I. Generation,Europe
99,Albania,1997,male,35-54 years,30,380800,7.88,"2,359,903,108",793,Boomers,Europe
100,Albania,1997,female,15-24 years,21,294000,7.14,"2,359,903,108",793,Generation X,Europe
101,Albania,1997,male,55-74 years,12,180300,6.66,"2,359,903,108",793,Silent,Europe
102,Albania,1997,female,25-34 years,16,273900,5.84,"2,359,903,108",793,Generation X,Europe
103,Albania,1997,female,75+ years,2,42100,4.75,"2,359,903,108",793,G.I. Generation,Europe
104,Albania,1997,female,35-54 years,7,370100,1.89,"2,359,903,108",793,Boomers,Europe
105,Albania,1997,female,5-14 years,6,361800,1.66,"2,359,903,108",793,Millenials,Europe
106,Albania,1997,male,5-14 years,4,381500,1.05,"2,359,903,108",793,Millenials,Europe
107,Albania,1997,female,55-74 years,0,187000,0.0,"2,359,903,108",793,Silent,Europe
108,Albania,1998,male,75+ years,3,25800,11.63,"2,707,123,772",899,G.I. Generation,Europe
109,Albania,1998,male,15-24 years,27,248800,10.85,"2,707,123,772",899,Generation X,Europe
110,Albania,1998,female,15-24 years,32,295600,10.83,"2,707,123,772",899,Generation X,Europe
111,Albania,1998,male,25-34 years,26,240400,10.82,"2,707,123,772",899,Generation X,Europe
112,Albania,1998,male,35-54 years,29,388200,7.47,"2,707,123,772",899,Boomers,Europe
113,Albania,1998,male,55-74 years,9,183800,4.9,"2,707,123,772",899,Silent,Europe
114,Albania,1998,female,25-34 years,10,275300,3.63,"2,707,123,772",899,Generation X,Europe
115,Albania,1998,female,55-74 years,6,188200,3.19,"2,707,123,772",899,Silent,Europe
116,Albania,1998,female,35-54 years,9,372100,2.42,"2,707,123,772",899,Boomers,Europe
117,Albania,1998,male,5-14 years,2,388400,0.51,"2,707,123,772",899,Millenials,Europe
118,Albania,1998,female,5-14 years,1,363800,0.27,"2,707,123,772",899,Millenials,Europe
119,Albania,1998,female,75+ years,0,42300,0.0,"2,707,123,772",899,G.I. Generation,Europe
120,Albania,1999,male,75+ years,3,25900,11.58,"3,414,760,915",1127,G.I. Generation,Europe
121,Albania,1999,male,15-24 years,24,250600,9.58,"3,414,760,915",1127,Generation X,Europe
122,Albania,1999,female,75+ years,4,42400,9.43,"3,414,760,915",1127,G.I. Generation,Europe
123,Albania,1999,male,35-54 years,31,391100,7.93,"3,414,760,915",1127,Boomers,Europe
124,Albania,1999,male,25-34 years,19,242300,7.84,"3,414,760,915",1127,Generation X,Europe
125,Albania,1999,male,55-74 years,14,185200,7.56,"3,414,760,915",1127,Silent,Europe
126,Albania,1999,female,15-24 years,19,296800,6.4,"3,414,760,915",1127,Generation X,Europe
127,Albania,1999,female,25-34 years,13,276500,4.7,"3,414,760,915",1127,Generation X,Europe
128,Albania,1999,female,55-74 years,6,188800,3.18,"3,414,760,915",1127,Silent,Europe
129,Albania,1999,female,35-54 years,5,373600,1.34,"3,414,760,915",1127,Boomers,Europe
130,Albania,1999,female,5-14 years,1,365200,0.27,"3,414,760,915",1127,Millenials,Europe
131,Albania,1999,male,5-14 years,0,391300,0.0,"3,414,760,915",1127,Millenials,Europe
132,Albania,2000,male,25-34 years,17,232000,7.33,"3,632,043,908",1299,Generation X,Europe
133,Albania,2000,male,55-74 years,10,177400,5.64,"3,632,043,908",1299,Silent,Europe
134,Albania,2000,female,75+ years,2,37800,5.29,"3,632,043,908",1299,G.I. Generation,Europe
135,Albania,2000,male,75+ years,1,24900,4.02,"3,632,043,908",1299,G.I. Generation,Europe
136,Albania,2000,female,15-24 years,6,263900,2.27,"3,632,043,908",1299,Generation X,Europe
137,Albania,2000,male,15-24 years,5,240000,2.08,"3,632,043,908",1299,Generation X,Europe
138,Albania,2000,female,35-54 years,5,332200,1.51,"3,632,043,908",1299,Boomers,Europe
139,Albania,2000,female,25-34 years,3,245800,1.22,"3,632,043,908",1299,Generation X,Europe
140,Albania,2000,male,35-54 years,4,374700,1.07,"3,632,043,908",1299,Boomers,Europe
141,Albania,2000,male,5-14 years,1,374900,0.27,"3,632,043,908",1299,Millenials,Europe
142,Albania,2000,female,5-14 years,0,324700,0.0,"3,632,043,908",1299,Millenials,Europe
143,Albania,2000,female,55-74 years,0,168000,0.0,"3,632,043,908",1299,Silent,Europe
144,Albania,2001,male,25-34 years,22,206484,10.65,"4,060,758,804",1451,Generation X,Europe
145,Albania,2001,male,35-54 years,34,378826,8.98,"4,060,758,804",1451,Boomers,Europe
146,Albania,2001,male,55-74 years,11,196670,5.59,"4,060,758,804",1451,Silent,Europe
147,Albania,2001,female,75+ years,2,47254,4.23,"4,060,758,804",1451,Silent,Europe
148,Albania,2001,male,15-24 years,10,256039,3.91,"4,060,758,804",1451,Millenials,Europe
149,Albania,2001,female,15-24 years,9,271359,3.32,"4,060,758,804",1451,Millenials,Europe
150,Albania,2001,female,35-54 years,12,370191,3.24,"4,060,758,804",1451,Boomers,Europe
151,Albania,2001,male,75+ years,1,31044,3.22,"4,060,758,804",1451,Silent,Europe
152,Albania,2001,female,55-74 years,6,189799,3.16,"4,060,758,804",1451,Silent,Europe
153,Albania,2001,male,5-14 years,6,321556,1.87,"4,060,758,804",1451,Millenials,Europe
154,Albania,2001,female,25-34 years,4,222771,1.8,"4,060,758,804",1451,Generation X,Europe
155,Albania,2001,female,5-14 years,2,307356,0.65,"4,060,758,804",1451,Millenials,Europe
156,Albania,2002,male,75+ years,4,31007,12.9,"4,435,078,648",1573,Silent,Europe
157,Albania,2002,male,25-34 years,23,206286,11.15,"4,435,078,648",1573,Generation X,Europe
158,Albania,2002,male,35-54 years,35,382139,9.16,"4,435,078,648",1573,Boomers,Europe
159,Albania,2002,male,55-74 years,13,198130,6.56,"4,435,078,648",1573,Silent,Europe
160,Albania,2002,male,15-24 years,15,263067,5.7,"4,435,078,648",1573,Millenials,Europe
161,Albania,2002,female,15-24 years,14,275970,5.07,"4,435,078,648",1573,Millenials,Europe
162,Albania,2002,female,35-54 years,15,375113,4.0,"4,435,078,648",1573,Boomers,Europe
163,Albania,2002,female,25-34 years,7,223685,3.13,"4,435,078,648",1573,Generation X,Europe
164,Albania,2002,female,75+ years,1,47407,2.11,"4,435,078,648",1573,Silent,Europe
165,Albania,2002,female,55-74 years,4,191712,2.09,"4,435,078,648",1573,Silent,Europe
166,Albania,2002,female,5-14 years,1,304850,0.33,"4,435,078,648",1573,Millenials,Europe
167,Albania,2002,male,5-14 years,1,319473,0.31,"4,435,078,648",1573,Millenials,Europe
168,Albania,2003,female,75+ years,6,49088,12.22,"5,746,945,913",2021,Silent,Europe
169,Albania,2003,male,55-74 years,16,201520,7.94,"5,746,945,913",2021,Silent,Europe
170,Albania,2003,male,35-54 years,28,386196,7.25,"5,746,945,913",2021,Boomers,Europe
171,Albania,2003,male,15-24 years,15,273235,5.49,"5,746,945,913",2021,Millenials,Europe
172,Albania,2003,female,15-24 years,14,283709,4.93,"5,746,945,913",2021,Millenials,Europe
173,Albania,2003,female,55-74 years,9,195699,4.6,"5,746,945,913",2021,Silent,Europe
174,Albania,2003,male,25-34 years,9,205433,4.38,"5,746,945,913",2021,Generation X,Europe
175,Albania,2003,female,25-34 years,9,222941,4.04,"5,746,945,913",2021,Generation X,Europe
176,Albania,2003,female,35-54 years,13,381760,3.41,"5,746,945,913",2021,Boomers,Europe
177,Albania,2003,male,75+ years,1,32667,3.06,"5,746,945,913",2021,Silent,Europe
178,Albania,2003,male,5-14 years,4,313204,1.28,"5,746,945,913",2021,Millenials,Europe
179,Albania,2003,female,5-14 years,0,298477,0.0,"5,746,945,913",2021,Millenials,Europe
180,Albania,2004,male,75+ years,4,35526,11.26,"7,314,865,176",2544,Silent,Europe
181,Albania,2004,male,35-54 years,39,391767,9.95,"7,314,865,176",2544,Boomers,Europe
182,Albania,2004,male,25-34 years,16,203938,7.85,"7,314,865,176",2544,Generation X,Europe
183,Albania,2004,female,15-24 years,20,292268,6.84,"7,314,865,176",2544,Millenials,Europe
184,Albania,2004,male,15-24 years,19,286768,6.63,"7,314,865,176",2544,Millenials,Europe
185,Albania,2004,female,75+ years,3,50970,5.89,"7,314,865,176",2544,Silent,Europe
186,Albania,2004,female,25-34 years,11,222389,4.95,"7,314,865,176",2544,Generation X,Europe
187,Albania,2004,male,55-74 years,10,207202,4.83,"7,314,865,176",2544,Silent,Europe
188,Albania,2004,female,35-54 years,17,391436,4.34,"7,314,865,176",2544,Boomers,Europe
189,Albania,2004,female,55-74 years,3,203841,1.47,"7,314,865,176",2544,Silent,Europe
190,Albania,2004,female,5-14 years,3,286705,1.05,"7,314,865,176",2544,Millenials,Europe
191,Albania,2004,male,5-14 years,1,302181,0.33,"7,314,865,176",2544,Millenials,Europe
192,Albania,2005,female,15-24 years,0,281922,0.0,"8,158,548,717",2931,Millenials,Europe
193,Albania,2005,female,25-34 years,0,190745,0.0,"8,158,548,717",2931,Generation X,Europe
194,Albania,2005,female,35-54 years,0,386513,0.0,"8,158,548,717",2931,Boomers,Europe
195,Albania,2005,female,5-14 years,0,276559,0.0,"8,158,548,717",2931,Millenials,Europe
196,Albania,2005,female,55-74 years,0,210998,0.0,"8,158,548,717",2931,Silent,Europe
197,Albania,2005,female,75+ years,0,53191,0.0,"8,158,548,717",2931,Silent,Europe
198,Albania,2005,male,15-24 years,0,281675,0.0,"8,158,548,717",2931,Millenials,Europe
199,Albania,2005,male,25-34 years,0,177519,0.0,"8,158,548,717",2931,Generation X,Europe
200,Albania,2005,male,35-54 years,0,380242,0.0,"8,158,548,717",2931,Boomers,Europe
201,Albania,2005,male,5-14 years,0,291367,0.0,"8,158,548,717",2931,Millenials,Europe
202,Albania,2005,male,55-74 years,0,214118,0.0,"8,158,548,717",2931,Silent,Europe
203,Albania,2005,male,75+ years,0,38471,0.0,"8,158,548,717",2931,Silent,Europe
204,Albania,2006,female,15-24 years,0,283138,0.0,"8,992,642,349",3235,Millenials,Europe
205,Albania,2006,female,25-34 years,0,186391,0.0,"8,992,642,349",3235,Generation X,Europe
206,Albania,2006,female,35-54 years,0,388746,0.0,"8,992,642,349",3235,Boomers,Europe
207,Albania,2006,female,5-14 years,0,267316,0.0,"8,992,642,349",3235,Millenials,Europe
208,Albania,2006,female,55-74 years,0,215907,0.0,"8,992,642,349",3235,Silent,Europe
209,Albania,2006,female,75+ years,0,56011,0.0,"8,992,642,349",3235,Silent,Europe
210,Albania,2006,male,15-24 years,0,286679,0.0,"8,992,642,349",3235,Millenials,Europe
211,Albania,2006,male,25-34 years,0,174092,0.0,"8,992,642,349",3235,Generation X,Europe
212,Albania,2006,male,35-54 years,0,379076,0.0,"8,992,642,349",3235,Boomers,Europe
213,Albania,2006,male,5-14 years,0,282678,0.0,"8,992,642,349",3235,Millenials,Europe
214,Albania,2006,male,55-74 years,0,219360,0.0,"8,992,642,349",3235,Silent,Europe
215,Albania,2006,male,75+ years,0,40782,0.0,"8,992,642,349",3235,Silent,Europe
216,Albania,2007,male,75+ years,8,42366,18.88,"10,701,011,897",3863,Silent,Europe
217,Albania,2007,male,35-54 years,29,378626,7.66,"10,701,011,897",3863,Boomers,Europe
218,Albania,2007,male,55-74 years,14,224160,6.25,"10,701,011,897",3863,Silent,Europe
219,Albania,2007,female,75+ years,3,57404,5.23,"10,701,011,897",3863,Silent,Europe
220,Albania,2007,male,25-34 years,9,172494,5.22,"10,701,011,897",3863,Generation X,Europe
221,Albania,2007,female,15-24 years,13,281080,4.63,"10,701,011,897",3863,Millenials,Europe
222,Albania,2007,male,15-24 years,13,288349,4.51,"10,701,011,897",3863,Millenials,Europe
223,Albania,2007,female,25-34 years,8,183629,4.36,"10,701,011,897",3863,Generation X,Europe
224,Albania,2007,female,55-74 years,9,221120,4.07,"10,701,011,897",3863,Silent,Europe
225,Albania,2007,female,35-54 years,14,391811,3.57,"10,701,011,897",3863,Boomers,Europe
226,Albania,2007,male,5-14 years,4,272497,1.47,"10,701,011,897",3863,Generation Z,Europe
227,Albania,2007,female,5-14 years,0,256808,0.0,"10,701,011,897",3863,Generation Z,Europe
228,Albania,2008,male,25-34 years,21,172855,12.15,"12,881,352,688",4672,Generation X,Europe
229,Albania,2008,male,35-54 years,37,377119,9.81,"12,881,352,688",4672,Boomers,Europe
230,Albania,2008,male,55-74 years,21,228672,9.18,"12,881,352,688",4672,Silent,Europe
231,Albania,2008,female,75+ years,5,59369,8.42,"12,881,352,688",4672,Silent,Europe
232,Albania,2008,female,15-24 years,20,276073,7.24,"12,881,352,688",4672,Millenials,Europe
233,Albania,2008,female,25-34 years,9,182663,4.93,"12,881,352,688",4672,Generation X,Europe
234,Albania,2008,female,35-54 years,19,393832,4.82,"12,881,352,688",4672,Boomers,Europe
235,Albania,2008,male,75+ years,2,44574,4.49,"12,881,352,688",4672,Silent,Europe
236,Albania,2008,male,15-24 years,11,286702,3.84,"12,881,352,688",4672,Millenials,Europe
237,Albania,2008,female,55-74 years,7,226448,3.09,"12,881,352,688",4672,Silent,Europe
238,Albania,2008,male,5-14 years,7,262464,2.67,"12,881,352,688",4672,Generation Z,Europe
239,Albania,2008,female,5-14 years,1,246288,0.41,"12,881,352,688",4672,Generation Z,Europe
240,Albania,2009,female,15-24 years,0,270003,0.0,"12,044,212,904",4387,Millenials,Europe
241,Albania,2009,female,25-34 years,0,182712,0.0,"12,044,212,904",4387,Generation X,Europe
242,Albania,2009,female,35-54 years,0,394286,0.0,"12,044,212,904",4387,Boomers,Europe
243,Albania,2009,female,5-14 years,0,236174,0.0,"12,044,212,904",4387,Generation Z,Europe
244,Albania,2009,female,55-74 years,0,233302,0.0,"12,044,212,904",4387,Silent,Europe
245,Albania,2009,female,75+ years,0,61582,0.0,"12,044,212,904",4387,Silent,Europe
246,Albania,2009,male,15-24 years,0,283448,0.0,"12,044,212,904",4387,Millenials,Europe
247,Albania,2009,male,25-34 years,0,174955,0.0,"12,044,212,904",4387,Generation X,Europe
248,Albania,2009,male,35-54 years,0,374365,0.0,"12,044,212,904",4387,Boomers,Europe
249,Albania,2009,male,5-14 years,0,253007,0.0,"12,044,212,904",4387,Generation Z,Europe
250,Albania,2009,male,55-74 years,0,234570,0.0,"12,044,212,904",4387,Silent,Europe
251,Albania,2009,male,75+ years,0,47331,0.0,"12,044,212,904",4387,Silent,Europe
252,Albania,2010,male,55-74 years,20,241852,8.27,"11,926,953,259",4359,Silent,Europe
253,Albania,2010,male,35-54 years,20,371611,5.38,"11,926,953,259",4359,Generation X,Europe
254,Albania,2010,male,25-34 years,9,179720,5.01,"11,926,953,259",4359,Generation X,Europe
255,Albania,2010,male,75+ years,2,50767,3.94,"11,926,953,259",4359,Silent,Europe
256,Albania,2010,male,15-24 years,10,279508,3.58,"11,926,953,259",4359,Millenials,Europe
257,Albania,2010,female,25-34 years,6,183579,3.27,"11,926,953,259",4359,Generation X,Europe
258,Albania,2010,female,75+ years,2,64415,3.1,"11,926,953,259",4359,Silent,Europe
259,Albania,2010,female,35-54 years,12,394593,3.04,"11,926,953,259",4359,Generation X,Europe
260,Albania,2010,female,55-74 years,7,241491,2.9,"11,926,953,259",4359,Silent,Europe
261,Albania,2010,female,15-24 years,6,263581,2.28,"11,926,953,259",4359,Millenials,Europe
262,Albania,2010,female,5-14 years,2,223969,0.89,"11,926,953,259",4359,Generation Z,Europe
263,Albania,2010,male,5-14 years,0,240939,0.0,"11,926,953,259",4359,Generation Z,Europe
264,Antigua and Barbuda,1985,female,15-24 years,0,7709,0.0,"240,923,926",3850,Generation X,North America
265,Antigua and Barbuda,1985,female,25-34 years,0,6344,0.0,"240,923,926",3850,Boomers,North America
266,Antigua and Barbuda,1985,female,35-54 years,0,6173,0.0,"240,923,926",3850,Silent,North America
267,Antigua and Barbuda,1985,female,5-14 years,0,7339,0.0,"240,923,926",3850,Generation X,North America
268,Antigua and Barbuda,1985,female,55-74 years,0,3778,0.0,"240,923,926",3850,G.I. Generation,North America
269,Antigua and Barbuda,1985,female,75+ years,0,949,0.0,"240,923,926",3850,G.I. Generation,North America
270,Antigua and Barbuda,1985,male,15-24 years,0,7667,0.0,"240,923,926",3850,Generation X,North America
271,Antigua and Barbuda,1985,male,25-34 years,0,6194,0.0,"240,923,926",3850,Boomers,North America
272,Antigua and Barbuda,1985,male,35-54 years,0,5970,0.0,"240,923,926",3850,Silent,North America
273,Antigua and Barbuda,1985,male,5-14 years,0,7304,0.0,"240,923,926",3850,Generation X,North America
274,Antigua and Barbuda,1985,male,55-74 years,0,2723,0.0,"240,923,926",3850,G.I. Generation,North America
275,Antigua and Barbuda,1985,male,75+ years,0,424,0.0,"240,923,926",3850,G.I. Generation,North America
276,Antigua and Barbuda,1986,female,15-24 years,0,7668,0.0,"290,440,148",4740,Generation X,North America
277,Antigua and Barbuda,1986,female,25-34 years,0,6209,0.0,"290,440,148",4740,Boomers,North America
278,Antigua and Barbuda,1986,female,35-54 years,0,6101,0.0,"290,440,148",4740,Silent,North America
279,Antigua and Barbuda,1986,female,5-14 years,0,6907,0.0,"290,440,148",4740,Generation X,North America
280,Antigua and Barbuda,1986,female,55-74 years,0,3764,0.0,"290,440,148",4740,G.I. Generation,North America
281,Antigua and Barbuda,1986,female,75+ years,0,1014,0.0,"290,440,148",4740,G.I. Generation,North America
282,Antigua and Barbuda,1986,male,15-24 years,0,7563,0.0,"290,440,148",4740,Generation X,North America
283,Antigua and Barbuda,1986,male,25-34 years,0,6023,0.0,"290,440,148",4740,Boomers,North America
284,Antigua and Barbuda,1986,male,35-54 years,0,5947,0.0,"290,440,148",4740,Silent,North America
285,Antigua and Barbuda,1986,male,5-14 years,0,6827,0.0,"290,440,148",4740,Generation X,North America
286,Antigua and Barbuda,1986,male,55-74 years,0,2771,0.0,"290,440,148",4740,G.I. Generation,North America
287,Antigua and Barbuda,1986,male,75+ years,0,476,0.0,"290,440,148",4740,G.I. Generation,North America
288,Antigua and Barbuda,1987,female,15-24 years,0,7583,0.0,"337,174,852",5595,Generation X,North America
289,Antigua and Barbuda,1987,female,25-34 years,0,6101,0.0,"337,174,852",5595,Boomers,North America
290,Antigua and Barbuda,1987,female,35-54 years,0,6059,0.0,"337,174,852",5595,Silent,North America
291,Antigua and Barbuda,1987,female,5-14 years,0,6623,0.0,"337,174,852",5595,Generation X,North America
292,Antigua and Barbuda,1987,female,55-74 years,0,3738,0.0,"337,174,852",5595,G.I. Generation,North America
293,Antigua and Barbuda,1987,female,75+ years,0,1081,0.0,"337,174,852",5595,G.I. Generation,North America
294,Antigua and Barbuda,1987,male,15-24 years,0,7421,0.0,"337,174,852",5595,Generation X,North America
